log2Enrich	feature	primary_diagnosis	cohort
359	1.164	SINE	colon	Cancer
360	-1.529	LINE	colon	Cancer
361	1.246	CpG-Island	colon	Cancer
362	1.282	Promoter	colon	Cancer
363	1.032	5UTR	colon	Cancer
364	1.841	Exon	colon	Cancer
365	0.412	Intron	colon	Cancer
366	1.127	TTS	colon	Cancer
367	0.917	3UTR	colon	Cancer
368	-1.381	Intergenic	colon	Cancer
369	1.429	SINE	colon	Cancer
370	-1.703	LINE	colon	Cancer
371	1.092	CpG-Island	colon	Cancer
372	1.475	Promoter	colon	Cancer
373	1.07	5UTR	colon	Cancer
374	1.809	Exon	colon	Cancer
375	0.324	Intron	colon	Cancer
376	1.146	TTS	colon	Cancer
377	0.949	3UTR	colon	Cancer
378	-1.26	Intergenic	colon	Cancer
379	1.382	SINE	colon	Cancer
380	-1.53	LINE	colon	Cancer
381	0.713	CpG-Island	colon	Cancer
382	1.288	Promoter	colon	Cancer
383	0.898	5UTR	colon	Cancer
384	1.77	Exon	colon	Cancer
385	0.301	Intron	colon	Cancer
386	1.002	TTS	colon	Cancer
387	0.94	3UTR	colon	Cancer
388	-1.145	Intergenic	colon	Cancer
389	1.253	SINE	colon	Cancer
390	-1.171	LINE	colon	Cancer
391	0.976	CpG-Island	colon	Cancer
392	1.413	Promoter	colon	Cancer
393	1.133	5UTR	colon	Cancer
394	1.67	Exon	colon	Cancer
395	0.417	Intron	colon	Cancer
396	1.075	TTS	colon	Cancer
397	0.91	3UTR	colon	Cancer
398	-1.088	Intergenic	colon	Cancer
399	1.308	SINE	colon	Cancer
400	-1.627	LINE	colon	Cancer
401	1.147	CpG-Island	colon	Cancer
402	1.567	Promoter	colon	Cancer
403	1.157	5UTR	colon	Cancer
404	1.743	Exon	colon	Cancer
405	0.279	Intron	colon	Cancer
406	1.157	TTS	colon	Cancer
407	0.862	3UTR	colon	Cancer
408	-1.473	Intergenic	colon	Cancer
409	1.557	SINE	colon	Cancer
410	-1.772	LINE	colon	Cancer
411	0.955	CpG-Island	colon	Cancer
412	1.444	Promoter	colon	Cancer
413	0.992	5UTR	colon	Cancer
414	1.674	Exon	colon	Cancer
415	0.357	Intron	colon	Cancer
416	1.068	TTS	colon	Cancer
417	0.881	3UTR	colon	Cancer
